Provincia;Latitud;Longitud;Edad Aprox.;Sexo;Motivo Desaparción;Motivo Desaparción Obs.;Fecha Desaparición;Situación Actual;Fecha Localización
LOS RIOS;-1,045297991;-79,46739426;18;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;04/08/2022;ENCONTRADO;08/09/2022
CHIMBORAZO;-1,6617016;-78,6730171;20;MUJER;PROBLEMA ECÓNOMICOS;DEUDAS;16/09/2022;ENCONTRADO;17/09/2022
PICHINCHA;-0,1030813;-78,509783;14;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;04/10/2022;ENCONTRADO;13/10/2022
PICHINCHA;-0,0796723;-78,5036659;16;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;19/09/2022;ENCONTRADO;22/09/2022
TUNGURAHUA;-1,2320089;-78,6412922;8;HOMBRE;FALLECIDO;NO DETERMINADA;04/08/2022;FALLECIDO;14/08/2022
MANABI;-0,4047096;-79,9057063;13;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;17/08/2022;ENCONTRADO;07/09/2022
GUAYAS;-2,1327053;-79,5966649;20;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;17/06/2022;ENCONTRADO;01/07/2022
GUAYAS;-2,1698493;-79,4633131;47;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;04/06/2022;ENCONTRADO;01/07/2022
GUAYAS;-2,0523001;-79,9437532;26;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;10/08/2022;ENCONTRADO;17/08/2022
PICHINCHA;-0,251709105;-78,52059662;25;HOMBRE;EXTRAVIADA;ACCIDENTADO;13/08/2022;ENCONTRADO;27/08/2022
PICHINCHA;-0,208022365;-78,49611477;59;HOMBRE;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;01/07/2022;ENCONTRADO;02/07/2022
GUAYAS;-2,1205274;-79,9438443;16;MUJER;SIN_DATO;SIN_DATO;09/10/2022;DESAPARECIDO;SIN_DATO
CHIMBORAZO;-2,0202543;-78,973717;32;MUJER;SIN_DATO;SIN_DATO;03/01/2022;DESAPARECIDO;SIN_DATO
TUNGURAHUA;-1,397876936;-78,42587472;16;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;25/06/2022;ENCONTRADO;01/07/2022
PICHINCHA;-0,3062089;-78,5536512;14;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;12/08/2022;ENCONTRADO;14/08/2022
PICHINCHA;-0,3062089;-78,5536512;13;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;12/08/2022;ENCONTRADO;14/08/2022
SUCUMBIOS;0,09904334;-76,89804612;17;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;18/08/2022;ENCONTRADO;06/09/2022
CHIMBORAZO;-1,686590903;-78,67860447;28;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;17/09/2022;ENCONTRADO;18/09/2022
MORONA SANTIAGO;-2,300169077;-78,12190226;19;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;09/10/2022;ENCONTRADO;14/10/2022
EL ORO;-3,556892945;-80,06524799;17;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;11/12/2022;ENCONTRADO;24/12/2022
PICHINCHA;-0,2930405;-78,5497592;16;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;28/06/2022;ENCONTRADO;02/07/2022
PICHINCHA;-0,374058;-78,3700011;57;HOMBRE;DISCAPACIDADES Y ENFERMEDADES;OTRAS ENFERMEDADES MENTALES;20/06/2022;ENCONTRADO;01/07/2022
PICHINCHA;-0,1304207;-78,443932;24;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;30/06/2022;ENCONTRADO;01/07/2022
AZUAY;-2,9129496;-79,0440243;16;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;02/06/2022;ENCONTRADO;01/07/2022
CHIMBORAZO;-2,206582;-79,1336706;37;HOMBRE;FALLECIDO;ACCIDENTAL;26/06/2022;FALLECIDO;26/06/2022
MORONA SANTIAGO;-2,721350583;-78,31710981;14;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;07/04/2022;ENCONTRADO;17/06/2022
TUNGURAHUA;-1,334117481;-78,54117393;17;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;04/06/2022;ENCONTRADO;02/07/2022
PICHINCHA;-0,1224086;-78,4652483;16;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;23/12/2022;ENCONTRADO;25/12/2022
EL ORO;-3,263001407;-79,95324279;35;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;15/11/2022;ENCONTRADO;18/11/2022
PICHINCHA;0,14603598;-79,3209752;42;MUJER;PROBLEMAS FAMILIARES;MALTRATO PSICOLOGICO;23/02/2022;ENCONTRADO;30/06/2022
SUCUMBIOS;-0,188364644;-76,64043332;17;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;04/04/2022;ENCONTRADO;15/08/2022
MORONA SANTIAGO;-2,318518014;-78,12642592;13;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;22/06/2022;ENCONTRADO;30/06/2022
CARCHI;0,82383598;-77,7098133;24;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;06/09/2022;ENCONTRADO;08/09/2022
CARCHI;0,801973155;-77,73028039;14;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;29/06/2022;ENCONTRADO;01/07/2022
AZUAY;-2,8954328;-79,0011585;35;MUJER;PROBLEMAS SOCIALES;ALCOHOLISMO;26/05/2022;ENCONTRADO;15/08/2022
SANTO DOMINGO DE LOS TSACHILAS;-0,0415994;-79,4955877;15;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;07/08/2022;ENCONTRADO;16/08/2022
PICHINCHA;-0,661895237;-78,71330532;16;HOMBRE;EXTRAVIADA;PERSONA EXTRAVIADA;07/08/2022;ENCONTRADO;09/08/2022
PICHINCHA;-0,661895237;-78,71330532;16;HOMBRE;EXTRAVIADA;PERSONA EXTRAVIADA;07/08/2022;ENCONTRADO;09/08/2022
IMBABURA;0,233142656;-78,27054199;16;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;28/06/2022;ENCONTRADO;02/07/2022
GUAYAS;-2,621439933;-80,39433814;16;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;29/07/2022;ENCONTRADO;12/08/2022
SUCUMBIOS;0,078024762;-76,89436383;16;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;10/08/2022;ENCONTRADO;14/08/2022
SANTO DOMINGO DE LOS TSACHILAS;-0,2521882;-79,1879383;14;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;30/07/2022;ENCONTRADO;16/08/2022
PICHINCHA;0,0411016;-78,2077368;26;HOMBRE;PROBLEMAS SOCIALES;ALCOHOLISMO;31/07/2022;ENCONTRADO;12/08/2022
IMBABURA;0,3488029;-78,124536;16;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;23/07/2022;ENCONTRADO;08/09/2022
GUAYAS;-2,217337832;-79,94434606;30;HOMBRE;PROBLEMAS SOCIALES;ALCOHOLISMO;30/06/2022;ENCONTRADO;02/07/2022
MORONA SANTIAGO;-2,456627869;-78,16841123;15;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;05/04/2022;ENCONTRADO;09/09/2022
GUAYAS;-2,1100989;-79,9907739;13;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;10/03/2022;ENCONTRADO;24/06/2022
SUCUMBIOS;0,085774073;-77,16929466;17;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;07/07/2022;ENCONTRADO;15/08/2022
GUAYAS;-2,2119008;-79,9066074;76;HOMBRE;DISCAPACIDADES Y ENFERMEDADES;ALZHEIMER;27/06/2022;ENCONTRADO;07/07/2022
AZUAY;-2,8608333;-78,9866667;89;HOMBRE;EXTRAVIADA;PERSONA EXTRAVIADA;12/08/2022;ENCONTRADO;16/08/2022
CHIMBORAZO;-1,6651085;-78,6462631;41;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;03/09/2022;ENCONTRADO;09/09/2022
PICHINCHA;-0,0944746;-78,4315469;15;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;01/07/2022;ENCONTRADO;06/07/2022
GUAYAS;-2,1910535;-79,9126467;18;HOMBRE;PROBLEMAS SOCIALES;DELINCUENCIA;14/08/2022;ENCONTRADO;18/08/2022
PICHINCHA;-0,1224086;-78,4652483;13;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;02/07/2022;ENCONTRADO;03/07/2022
GUAYAS;-2,2078477;-79,904523;2;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;27/04/2022;ENCONTRADO;16/08/2022
GUAYAS;-2,2078477;-79,904523;33;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;27/04/2022;ENCONTRADO;16/08/2022
ESMERALDAS;0,371700037;-79,48989148;14;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;25/07/2022;ENCONTRADO;11/08/2022
PICHINCHA;-0,1181102;-78,4404961;18;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;01/07/2022;ENCONTRADO;02/07/2022
GUAYAS;-2,164749637;-79,83187112;30;HOMBRE;PROBLEMAS SOCIALES;DROGADICCION;29/06/2022;ENCONTRADO;26/07/2022
AZUAY;-2,830963;-78,767076;45;HOMBRE;FALLECIDO;NO DETERMINADA;09/06/2022;FALLECIDO;18/11/2022
MORONA SANTIAGO;-3,406055501;-78,57283236;14;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;23/06/2022;ENCONTRADO;02/07/2022
MORONA SANTIAGO;-2,3074378;-78,1202307;16;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;29/06/2022;ENCONTRADO;01/07/2022
GUAYAS;-2,127596963;-79,90682602;3;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;26/07/2022;ENCONTRADO;16/08/2022
GUAYAS;-2,1239196;-79,5832458;2;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;06/09/2022;ENCONTRADO;09/09/2022
GUAYAS;-2,211037717;-79,93201435;44;HOMBRE;FALLECIDO;NO DETERMINADA;12/08/2022;FALLECIDO;23/08/2022
EL ORO;-3,257166377;-79,93305802;15;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;29/06/2022;ENCONTRADO;03/07/2022
AZUAY;-2,8993951;-78,9754862;56;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;02/07/2022;ENCONTRADO;04/07/2022
AZUAY;-2,8883801;-79,0289053;13;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;18/06/2022;ENCONTRADO;02/07/2022
AZUAY;-2,888846;-79,0023562;18;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;01/07/2022;ENCONTRADO;02/07/2022
PICHINCHA;-0,0835194;-78,4731778;60;HOMBRE;EXTRAVIADA;PERSONA EXTRAVIADA;28/06/2022;ENCONTRADO;03/07/2022
TUNGURAHUA;-1,2756476;-78,6370367;34;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;02/07/2022;ENCONTRADO;12/07/2022
AZUAY;-2,876603;-78,9996125;68;MUJER;PROBLEMAS PSICOLÓGICOS;PROBLEMAS DE CONDUCTA;20/05/2022;ENCONTRADO;02/07/2022
PICHINCHA;0,044477568;-78,1381068;21;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;30/06/2022;ENCONTRADO;03/07/2022
GUAYAS;-2,194169241;-79,89883203;39;HOMBRE;EXTRAVIADA;ACCIDENTADO;01/07/2022;ENCONTRADO;03/07/2022
GUAYAS;-2,1266935;-80,0014706;49;MUJER;FALLECIDO;NO DETERMINADA;09/01/2022;FALLECIDO;08/09/2022
LOS RIOS;-1,0425107;-79,473789;15;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;01/07/2022;ENCONTRADO;03/07/2022
PICHINCHA;-0,25;-78,5;15;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;10/08/2022;ENCONTRADO;16/08/2022
CHIMBORAZO;-1,688981492;-78,64040422;14;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;16/09/2022;ENCONTRADO;18/09/2022
GUAYAS;-2,2190152;-79,9283254;88;HOMBRE;DISCAPACIDADES Y ENFERMEDADES;RETARDOS MENTALES;02/07/2022;ENCONTRADO;03/07/2022
ZAMORA CHINCHIPE;-3,892257688;-78,78080607;15;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;08/09/2022;ENCONTRADO;09/09/2022
ZAMORA CHINCHIPE;-3,892257688;-78,78080607;17;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;08/09/2022;ENCONTRADO;09/09/2022
CHIMBORAZO;-1,69493478;-78,64372403;21;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;27/06/2022;ENCONTRADO;01/07/2022
PICHINCHA;-0,3205245;-78,5539694;15;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;23/07/2022;ENCONTRADO;16/08/2022
ESMERALDAS;1,123784328;-79,12199031;14;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;31/08/2022;ENCONTRADO;05/09/2022
BOLIVAR;-1,594902988;-79,00151137;59;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;20/12/2022;ENCONTRADO;27/12/2022
GUAYAS;-2,2239159;-79,9426591;15;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;02/07/2022;ENCONTRADO;03/07/2022
PICHINCHA;-3,28E-01;-78,45189899;14;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;03/05/2022;ENCONTRADO;16/08/2022
NAPO;-0,335836844;-77,81297868;17;HOMBRE;SIN_DATO;SIN_DATO;30/06/2022;DESAPARECIDO;SIN_DATO
CHIMBORAZO;-1,6542328;-78,6460904;16;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;17/09/2022;ENCONTRADO;19/09/2022
CHIMBORAZO;-1,6671331;-78,6586869;13;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;29/04/2022;ENCONTRADO;02/05/2022
GUAYAS;-2,1170112;-79,9187032;14;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;02/07/2022;ENCONTRADO;03/07/2022
EL ORO;-3,3259044;-79,8056661;13;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;29/07/2022;ENCONTRADO;17/08/2022
PICHINCHA;-0,203481283;-78,49064035;38;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;08/09/2022;ENCONTRADO;09/09/2022
BOLIVAR;-1,43232;-79,27918;20;MUJER;SIN_DATO;SIN_DATO;21/05/2022;DESAPARECIDO;SIN_DATO
LOJA;-4,024835653;-79,20185456;23;MUJER;DISCAPACIDADES Y ENFERMEDADES;OTRAS ENFERMEDADES MENTALES;15/09/2022;ENCONTRADO;18/09/2022
PICHINCHA;-0,095837717;-78,45087881;40;HOMBRE;PROBLEMAS SOCIALES;DELINCUENCIA;15/06/2022;ENCONTRADO;16/06/2022
GUAYAS;-2,1497762;-79,8386915;54;HOMBRE;PROBLEMAS SOCIALES;ALCOHOLISMO;11/06/2022;ENCONTRADO;03/07/2022
GUAYAS;-2,333869041;-79,39633285;16;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;12/07/2022;ENCONTRADO;15/08/2022
EL ORO;-3,245968964;-79,96346323;19;HOMBRE;PROBLEMA ECÓNOMICOS;DEUDAS;29/06/2022;ENCONTRADO;04/07/2022
PICHINCHA;-0,2686367;-78,5400834;24;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;07/08/2022;ENCONTRADO;16/08/2022
COTOPAXI;-0,967428939;-78,5951918;34;HOMBRE;SIN_DATO;SIN_DATO;10/08/2022;DESAPARECIDO;SIN_DATO
GUAYAS;-2,2277542;-79,9395439;25;HOMBRE;SIN_DATO;SIN_DATO;26/12/2022;DESAPARECIDO;SIN_DATO
ESMERALDAS;1,089127025;-79,00086302;48;HOMBRE;SIN_DATO;SIN_DATO;08/11/2022;DESAPARECIDO;SIN_DATO
SANTO DOMINGO DE LOS TSACHILAS;-0,237430107;-79,16515276;28;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;03/07/2022;ENCONTRADO;04/07/2022
PICHINCHA;-0,1703649;-78,4787111;14;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;07/09/2022;ENCONTRADO;09/09/2022
PICHINCHA;-0,1181102;-78,4404961;15;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;03/09/2022;ENCONTRADO;31/12/2022
PICHINCHA;-0,1643585;-78,4649794;75;MUJER;PROBLEMAS FAMILIARES;MALTRATO FISICO;05/09/2022;ENCONTRADO;01/12/2022
GUAYAS;-2,169013;-79,8492288;22;HOMBRE;PROBLEMAS SOCIALES;ALCOHOLISMO;30/06/2022;ENCONTRADO;04/07/2022
CARCHI;0,825941559;-77,70888449;15;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;28/07/2022;ENCONTRADO;16/08/2022
GUAYAS;-1,829545954;-79,81272125;18;MUJER;SIN_DATO;SIN_DATO;28/11/2022;DESAPARECIDO;SIN_DATO
ORELLANA;-0,444157704;-77,0014314;49;MUJER;PROBLEMAS FAMILIARES;MALTRATO PSICOLOGICO;11/11/2022;ENCONTRADO;17/11/2022
GUAYAS;-2,0721549;-79,9345141;20;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;20/05/2022;ENCONTRADO;03/07/2022
SUCUMBIOS;0,068270103;-76,88221588;12;HOMBRE;PROBLEMAS FAMILIARES;MALTRATO FISICO;13/08/2022;ENCONTRADO;16/08/2022
COTOPAXI;-0,9084411;-79,2225576;15;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;04/08/2022;ENCONTRADO;16/08/2022
LOS RIOS;-1,570929263;-79,4606409;24;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;31/07/2022;ENCONTRADO;09/08/2022
EL ORO;-3,236214228;-79,95223865;12;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;15/08/2022;ENCONTRADO;16/08/2022
SANTO DOMINGO DE LOS TSACHILAS;-0,385197003;-79,37644383;38;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;14/08/2022;ENCONTRADO;22/08/2022
PICHINCHA;-0,0022568;-78,4558227;25;MUJER;DISCAPACIDADES Y ENFERMEDADES;OTRAS ENFERMEDADES MENTALES;09/08/2022;ENCONTRADO;16/08/2022
SANTA ELENA;-2,215799711;-80,87312013;21;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;23/06/2022;ENCONTRADO;04/07/2022
LOS RIOS;-1,80845266;-79,53721762;14;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;01/09/2022;ENCONTRADO;08/09/2022
GUAYAS;-2,1222554;-79,9679769;15;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;04/08/2022;ENCONTRADO;17/08/2022
MORONA SANTIAGO;-2,4566285;-78,1678439;12;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;12/05/2022;ENCONTRADO;17/08/2022
TUNGURAHUA;-1,3933412;-78,5291706;17;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;06/09/2022;ENCONTRADO;11/09/2022
GUAYAS;-1,768270291;-79,7828758;21;HOMBRE;SIN_DATO;SIN_DATO;11/08/2022;DESAPARECIDO;SIN_DATO
PICHINCHA;-0,2856211;-78,5650431;47;HOMBRE;PROBLEMAS SOCIALES;DROGADICCION;15/06/2022;ENCONTRADO;07/09/2022
LOJA;-4,326070096;-79,5555747;22;HOMBRE;FALLECIDO;NO DETERMINADA;29/06/2022;FALLECIDO;04/07/2022
TUNGURAHUA;-1,242084816;-78,62707161;49;HOMBRE;PROBLEMAS SOCIALES;ALCOHOLISMO;13/08/2022;ENCONTRADO;17/08/2022
ORELLANA;-0,439021948;-77,00415155;13;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;31/08/2022;ENCONTRADO;09/09/2022
MANABI;-1,0523156;-80,4840974;37;HOMBRE;PROBLEMAS SOCIALES;DROGADICCION;08/08/2022;ENCONTRADO;18/08/2022
GUAYAS;-2,2758147;-79,887782;15;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;09/08/2022;ENCONTRADO;17/08/2022
EL ORO;-3,325261572;-79,80794326;71;MUJER;DISCAPACIDADES Y ENFERMEDADES;ALZHEIMER;13/08/2022;ENCONTRADO;17/08/2022
MANABI;-1,035791241;-79,83219624;32;HOMBRE;SIN_DATO;SIN_DATO;24/12/2022;DESAPARECIDO;SIN_DATO
PICHINCHA;-0,3086002;-78,5618265;10;MUJER;SIN_DATO;SIN_DATO;16/09/2022;DESAPARECIDO;SIN_DATO
GUAYAS;-2,1941123;-79,8991061;17;MUJER;SIN_DATO;SIN_DATO;13/11/2022;DESAPARECIDO;SIN_DATO
CARCHI;0,825834282;-77,70903469;15;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;03/07/2022;ENCONTRADO;04/07/2022
EL ORO;-3,4812234;-80,2425681;62;HOMBRE;EXTRAVIADA;PERSONA EXTRAVIADA;16/08/2022;ENCONTRADO;17/08/2022
GUAYAS;-2,0844835;-79,9309719;30;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;09/05/2022;ENCONTRADO;17/08/2022
AZUAY;-2,9189477;-79,0145306;23;HOMBRE;PROBLEMAS SOCIALES;ALCOHOLISMO;09/08/2022;ENCONTRADO;16/08/2022
CHIMBORAZO;-2,020000262;-78,97281373;39;HOMBRE;PROBLEMA ECÓNOMICOS;DEUDAS;14/08/2022;ENCONTRADO;19/08/2022
PICHINCHA;-0,185315644;-78,507793;16;MUJER;SIN_DATO;SIN_DATO;10/12/2022;DESAPARECIDO;SIN_DATO
COTOPAXI;-0,932899717;-78,62120559;42;MUJER;SIN_DATO;SIN_DATO;17/12/2022;DESAPARECIDO;SIN_DATO
SANTO DOMINGO DE LOS TSACHILAS;-0,403894417;-79,30041075;15;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;08/08/2022;ENCONTRADO;19/09/2022
PICHINCHA;-0,2964769;-78,5327207;56;HOMBRE;FALLECIDO;NO DETERMINADA;04/07/2022;FALLECIDO;05/07/2022
PICHINCHA;0,116537213;-79,26670723;41;HOMBRE;FALLECIDO;NO DETERMINADA;05/08/2022;FALLECIDO;08/08/2022
EL ORO;-3,300505807;-79,87466901;19;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;06/09/2022;ENCONTRADO;20/09/2022
EL ORO;-3,300505807;-79,87466901;3;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;06/09/2022;ENCONTRADO;20/09/2022
SANTO DOMINGO DE LOS TSACHILAS;-0,228399597;-79,18783555;33;HOMBRE;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;12/09/2022;ENCONTRADO;14/09/2022
MANABI;-0,595647292;-80,39884051;16;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;08/06/2022;ENCONTRADO;04/07/2022
LOJA;-3,957604402;-79,2224169;19;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;23/07/2022;ENCONTRADO;15/08/2022
LOS RIOS;-1,557912448;-79,75501175;14;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;28/07/2022;ENCONTRADO;10/09/2022
AZUAY;-2,8054078;-78,7735749;5;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;25/11/2022;ENCONTRADO;14/12/2022
CHIMBORAZO;-2,0202543;-78,973717;13;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;02/07/2022;ENCONTRADO;06/07/2022
MANABI;-1,065277633;-79,96869712;16;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;29/06/2022;ENCONTRADO;04/07/2022
ESMERALDAS;0,931887231;-79,66207801;18;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;26/07/2022;ENCONTRADO;17/08/2022
PICHINCHA;-0,24411;-78,5163894;14;MUJER;PROBLEMAS SOCIALES;ALCOHOLISMO;17/08/2022;ENCONTRADO;19/08/2022
LOS RIOS;-1,559118867;-79,75517184;14;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;29/09/2022;ENCONTRADO;18/11/2022
PICHINCHA;-0,1892967;-78,5044691;15;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;07/09/2022;ENCONTRADO;08/09/2022
COTOPAXI;-0,779416963;-78,64206785;46;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;13/08/2022;ENCONTRADO;15/08/2022
SANTO DOMINGO DE LOS TSACHILAS;-0,276984156;-79,18162349;17;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;30/06/2022;ENCONTRADO;01/07/2022
GUAYAS;-2,219541252;-79,93969917;37;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;08/09/2022;ENCONTRADO;20/09/2022
LOJA;-4,161690004;-79,47267518;14;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;27/06/2022;ENCONTRADO;07/07/2022
PICHINCHA;-0,162657;-78,4792977;87;MUJER;DISCAPACIDADES Y ENFERMEDADES;ALZHEIMER;17/08/2022;ENCONTRADO;17/08/2022
LOJA;-3,971275805;-79,20319576;17;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;29/06/2022;ENCONTRADO;06/07/2022
GUAYAS;-2,2840098;-79,8847104;15;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;12/08/2022;ENCONTRADO;23/08/2022
GUAYAS;-2,053431905;-79,89692853;77;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;02/07/2022;ENCONTRADO;05/07/2022
COTOPAXI;-1,0773526;-79,1548533;15;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;06/07/2022;ENCONTRADO;02/09/2022
PICHINCHA;-0,2107252;-78,4410895;13;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;11/08/2022;ENCONTRADO;12/08/2022
GUAYAS;-2,06403824;-79,89184771;27;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;27/04/2022;ENCONTRADO;23/08/2022
